,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Dependents_1,Dependents_2,Dependents_3above,Property_Area_Semiurban,Property_Area_Urban
71,1,1,0,0,2661,7101.0,279.0,180.0,1.0,1,0,0,1,0
72,1,1,1,0,2439,3333.0,129.0,360.0,1.0,0,0,0,0,0
73,1,1,0,0,3074,1800.0,123.0,360.0,0.0,0,0,0,1,0
74,1,1,1,0,2132,1591.0,96.0,360.0,1.0,0,0,0,1,0
75,1,1,0,1,2609,3449.0,165.0,180.0,0.0,0,0,0,0,0
76,1,0,0,0,2755,0.0,65.0,300.0,1.0,0,0,0,0,0
77,1,1,1,0,8080,2250.0,180.0,360.0,1.0,1,0,0,0,1
78,0,1,1,0,12000,0.0,496.0,360.0,1.0,1,0,0,1,0
79,1,1,0,0,1800,2934.0,93.0,360.0,0.0,0,0,0,0,1
80,1,1,1,0,3125,2583.0,170.0,360.0,1.0,1,0,0,1,0
81,1,1,1,0,3510,4416.0,243.0,360.0,1.0,0,1,0,0,0
82,1,1,1,0,3073,8106.0,200.0,360.0,1.0,0,1,0,0,1
83,1,1,1,0,3029,0.0,99.0,360.0,1.0,0,0,1,0,1
84,1,1,1,0,3593,4266.0,132.0,180.0,0.0,0,0,0,0,0
85,1,1,1,0,3597,2157.0,119.0,360.0,0.0,0,0,0,0,0
86,1,1,1,1,7787,0.0,240.0,360.0,1.0,1,0,0,0,1
87,1,1,0,1,7100,0.0,125.0,60.0,1.0,0,0,1,0,1
88,1,1,1,0,4400,0.0,127.0,360.0,0.0,0,1,0,1,0
89,1,0,1,1,16250,0.0,192.0,360.0,0.0,0,0,0,0,1
90,1,1,0,0,2600,1911.0,116.0,360.0,0.0,0,0,0,1,0
91,1,0,1,0,2971,2791.0,144.0,360.0,1.0,0,0,0,1,0
92,1,1,1,0,9504,0.0,275.0,360.0,1.0,0,0,1,0,0
93,1,1,1,0,4817,923.0,120.0,180.0,1.0,0,0,0,0,1
94,1,1,1,0,8799,0.0,258.0,360.0,0.0,0,1,0,0,1
95,1,1,1,1,3450,2079.0,162.0,360.0,1.0,1,0,0,1,0
96,0,0,1,0,3846,0.0,111.0,360.0,1.0,0,0,0,1,0
97,1,1,1,0,6133,3906.0,324.0,360.0,1.0,0,0,0,0,1
98,1,1,1,0,3708,2569.0,173.0,360.0,1.0,0,0,0,0,1
99,1,0,1,0,3676,4301.0,172.0,360.0,1.0,0,0,0,0,0
100,1,1,0,0,2454,2333.0,181.0,360.0,0.0,0,0,0,0,1
101,1,1,1,0,2708,1167.0,97.0,360.0,1.0,0,1,0,1,0
102,1,1,0,0,2167,2400.0,115.0,360.0,1.0,0,0,0,0,1
103,1,1,0,1,3333,2166.0,130.0,360.0,1.0,0,0,1,1,0
104,1,1,0,0,6608,0.0,137.0,180.0,1.0,1,0,0,0,1
105,1,1,1,0,2473,1843.0,159.0,360.0,1.0,0,0,0,0,0
106,1,0,1,0,2833,0.0,71.0,360.0,1.0,0,0,0,0,1
107,1,0,1,0,4923,0.0,166.0,360.0,0.0,0,1,0,1,0
108,1,1,0,0,3365,1917.0,112.0,360.0,0.0,0,1,0,0,0
109,1,1,1,0,5780,0.0,192.0,360.0,1.0,0,1,0,0,1
110,1,0,1,0,3600,0.0,80.0,360.0,1.0,0,0,0,0,1
111,1,0,1,0,5815,3666.0,311.0,360.0,1.0,0,0,0,0,0
112,0,1,0,0,210,2917.0,98.0,360.0,1.0,0,1,0,1,0
113,0,0,1,0,2917,0.0,84.0,360.0,1.0,0,0,0,1,0
114,1,0,0,0,3833,0.0,110.0,360.0,1.0,0,0,0,0,0
115,1,0,1,0,2060,2209.0,134.0,360.0,1.0,0,0,0,1,0
116,0,1,1,0,4608,2845.0,140.0,180.0,1.0,1,0,0,1,0
117,0,0,1,0,3427,0.0,138.0,360.0,1.0,0,1,0,0,1
118,1,0,1,0,4683,1915.0,185.0,360.0,1.0,0,0,0,1,0
119,1,1,0,0,3601,1590.0,152.0854700854701,360.0,1.0,0,1,0,0,0
120,0,1,0,0,3017,663.0,102.0,360.0,1.0,0,0,0,1,0
121,0,0,0,1,17263,0.0,225.0,360.0,1.0,0,0,0,1,0
122,1,1,1,0,3750,0.0,116.0,360.0,1.0,1,0,0,1,0
